"DATE","WEEKDAY","HOLIDAY","MONTHYEAR","YEAR","MONTH","DAYMONTH","WEEKEND","AWND","PRCP","PRCP_LVL","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09","BIKE","TAXI","GREEN","TRAFFIC","ACCIDENTS"
"2013-09-22","Sunday",FALSE,"2013-09",2013,"September","09-22",TRUE,23.8,29,"Moderate",0,0,19.4,22.2,12.8,320,320,40.4,48.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29758,457166,2099,NA,585
"2013-09-23","Monday",FALSE,"2013-09",2013,"September","09-23",FALSE,18.4,0,"None",0,0,15,20,10,330,330,29.1,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35152,411837,1975,NA,661
"2013-09-24","Tuesday",FALSE,"2013-09",2013,"September","09-24",FALSE,14.4,0,"None",0,0,15,23.9,8.9,350,270,24.1,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38417,435121,2043,NA,615
"2013-09-25","Wednesday",FALSE,"2013-09",2013,"September","09-25",FALSE,10.4,0,"None",0,0,17.2,22.2,10.6,210,230,22.7,27.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38223,461769,2319,NA,539
"2013-09-26","Thursday",FALSE,"2013-09",2013,"September","09-26",FALSE,11.2,0,"None",0,0,16.7,21.1,12.2,100,110,24.1,27.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38189,484958,2561,NA,516
"2013-09-27","Friday",FALSE,"2013-09",2013,"September","09-27",FALSE,11.9,0,"None",0,0,16.1,20.6,11.1,40,50,22.7,25.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37412,502250,3111,NA,553
"2013-09-28","Saturday",FALSE,"2013-09",2013,"September","09-28",TRUE,10.4,0,"None",0,0,17.8,23.3,13.3,20,40,24.1,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34931,526082,3454,NA,547
"2013-09-29","Sunday",FALSE,"2013-09",2013,"September","09-29",TRUE,10.1,0,"None",0,0,16.7,22.2,12.2,160,90,20.9,27.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32592,457888,2715,NA,506
"2013-09-30","Monday",FALSE,"2013-09",2013,"September","09-30",FALSE,10.4,0,"None",0,0,16.1,22.2,11.1,190,190,20.9,24.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37148,424431,2427,NA,605
"2013-10-01","Tuesday",FALSE,"2013-10",2013,"October","10-01",FALSE,13,0,"None",0,0,19.4,27.2,14.4,230,240,27.4,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40575,452769,2635,NA,616
"2013-10-02","Wednesday",FALSE,"2013-10",2013,"October","10-02",FALSE,14.8,0,"None",0,0,21.7,29.4,15.6,230,230,33.8,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,41383,475182,3370,NA,647
"2013-10-03","Thursday",FALSE,"2013-10",2013,"October","10-03",FALSE,10.1,0,"None",0,0,21.7,25,15.6,190,190,22.7,25.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40456,496807,3457,NA,590
"2013-10-04","Friday",FALSE,"2013-10",2013,"October","10-04",FALSE,10.4,0,"None",0,0,21.1,26.7,16.7,190,190,27.4,35.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40195,520937,3869,NA,658
"2013-10-05","Saturday",FALSE,"2013-10",2013,"October","10-05",TRUE,10.8,0,"None",0,0,20,24.4,17.8,120,NA,19.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34181,538444,4336,NA,497
"2013-10-06","Sunday",FALSE,"2013-10",2013,"October","10-06",TRUE,15.8,0,"None",0,0,18.9,20.6,18.3,100,100,27.4,33.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26574,457691,3503,NA,404
"2013-10-07","Monday",FALSE,"2013-10",2013,"October","10-07",FALSE,26.6,7,"Slight",0,0,21.1,25.6,16.1,180,180,53.3,65.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25016,426030,3229,NA,618
"2013-10-08","Tuesday",FALSE,"2013-10",2013,"October","10-08",FALSE,18.4,0,"None",0,0,16.7,20,12.8,360,340,29.1,37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38365,459784,3235,NA,574
"2013-10-09","Wednesday",FALSE,"2013-10",2013,"October","10-09",FALSE,17.3,0,"None",0,0,15,18.3,11.7,50,50,33.8,40.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36969,484883,3742,NA,529
"2013-10-10","Thursday",FALSE,"2013-10",2013,"October","10-10",FALSE,25.6,0,"None",0,0,15,18.9,13.3,30,30,33.8,41.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31171,507456,4307,NA,559
"2013-10-11","Friday",FALSE,"2013-10",2013,"October","10-11",FALSE,24.8,0,"None",0,0,17.8,20.6,15.6,60,40,35.2,45.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,33357,516171,5205,NA,621
"2013-10-12","Saturday",FALSE,"2013-10",2013,"October","10-12",TRUE,24.1,0,"None",0,0,18.9,23.9,15,60,60,38.5,48.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32457,524068,5377,NA,556
